title,rating,sold,price,price_display
"Gaming Chair with Footrest, Ergonomic Computer Chair, PU Breathable Material with Headrest and Lumbar Support, Suitable for Silla Gamer and Adults(Pink)",4.2,50+ bought in past month,,
"RESPAWN 110 Ergonomic Gaming Chair - Reclining Office Video Game Swivel Chair with Lumbar Support, Headrest, Heavy Duty, High Back, Racing Style Gaming Recliner Seat for Computer Gamer - Red",4.1,,,
"Big and Tall Office Chair with Footrest, PU Leather High Back Executive Office Chair 400lbs, Ergonomic Computer Chairs Lumbar Support for Heavy People (Blue)",4.4,Top Reviewed for Comfort,,
"X Rocker PC Computer Gaming Desk Chair with Wheels, College Dorm Room Essentials for Guys and Girls, Adjustable, Ergonomic Office Chair, Gifts for Gamers",4.0,,,
"ELABEST X100 Ergonomic Mesh Office Chair with Footrest, Big and Tall Hone Desk Chair with 5D Flip-Up Arms, Adjustable 3D Lumbar Support,Gaming & Executive Computer Chairs",4.7,Top Reviewed for Comfort,,
"HLDIRECT Gaming Chair, Ergonomic Video Game Seat with 360° Swivel & Lumbar Massage, Computer Chair PU Leather Cushion for Adults Home/Office Use (Black & Green)",4.1,400+ bought in past month,,
"Gaming Chair with Footrest, Ergonomic Fabric Computer Chair with Lumbar Support, High Back Reclining Office Chair with Adjustable Height & Angle, 300KG Capacity (Grey Linen)",5.0,New on Amazon in past month,,
"Marsail Ergonomic Office Chair Ergonomic Gaming Chair with Lumbar Support, 2D Headrest, Adjustable Armrests, Contoured Seat Cushion, Computer Desk Chair with Wheels for Home and Office",4.5,Top Reviewed for Comfort,,
"HUANUO Ergonomic Office Chair, High Back Computer Desk Chair with Adjustable Lumbar Support and Headrest, Comfy Gaming Chair with 3D Armrests, Home Office Rolling Chair, Max Load 300 lbs",4.5,600+ bought in past month,,
"Gaming Chair 4D Adjustable Armrests - 155° Reclining & 320lb Capacity, High Back Ergonomic Computer Chair with Lumbar Support, Fabric Office Chair for Adults (Black)",4.7,,,
"White Gaming Chair,Computer Office Chair with Footrest,Massage Lumbar Support and Gel Pad,Ergonomic Reclining Adjustable Leather Gamer Chair with Headrest and Spring Cushion White",3.8,50+ bought in past month,,
"Ergonomic Office Chair, 330LBS Desk Chair with 3-Level Lumbar Support & Headrest, Breathable Mesh Backrest, Flip-Up Armrests for Home Office and Gaming, Black",4.4,,,
"Gaming Chair Covers Only,Stretchable Soft Thick Breathable Mesh Scratch Resistant Gaming Chair Seat Cover with 2Pcs Armrest Slipcovers(Black-red,Style 1)",3.8,,,
"Ergonomic Gaming Chair, Video Game Chair with Pocket Spring Cushion and Footrest, Height Adjustable Computer Chair with Swivel Seat and Headrest (Purple)",4.5,,,
"Marsail Ergonomic Office Chair Ergonomic Gaming Chair with Lumbar Support, 2D Headrest, Adjustable Armrests, Contoured Seat Cushion, Computer Desk Chair with Wheels for Home and Office (Dark)",4.6,50+ bought in past month,,
"Flash Furniture X10 High-Back LeatherSoft Racing Style Gaming Chair with Flip-Up Arms, Ergonomic Padded Swivel Computer Chair, Black",4.3,,,
